Date,Open,High,Low,Close,Adj Close,Volume
2024-03-05,319.929993,322.519989,318.290009,320.260010,318.005402,185400
2024-03-06,325.079987,325.079987,319.959991,322.269989,320.001221,193400
2024-03-07,323.380005,325.049988,319.519989,321.980011,320.808289,253600
2024-03-08,323.549988,324.850006,318.209991,319.799988,318.636200,311200
2024-03-11,317.829987,318.529999,312.829987,317.940002,316.782990,193600
2024-03-12,318.600006,321.489990,316.750000,321.179993,320.011200,176700
2024-03-13,321.450012,324.220001,318.619995,324.070007,322.890686,310600
2024-03-14,323.880005,324.670013,314.209991,319.250000,318.088226,315300
2024-03-15,316.980011,322.640015,316.980011,320.640015,319.473175,1078100
2024-03-18,323.929993,324.190002,320.040009,320.709991,319.542908,203100
2024-03-19,321.399994,326.309998,321.399994,325.079987,323.896973,323900
2024-03-20,326.510010,328.670013,324.600006,326.929993,325.740265,162300
2024-03-21,329.690002,332.480011,326.450012,331.850006,330.642365,166600
2024-03-22,332.010010,332.839996,328.559998,330.429993,329.227539,207400
2024-03-25,332.230011,336.130005,331.489990,331.529999,330.323517,211400
2024-03-26,332.329987,334.679993,329.109985,331.380005,330.174072,203100
2024-03-27,333.700012,337.109985,333.299988,336.899994,335.673981,170400
2024-03-28,336.609985,337.019989,333.220001,334.179993,332.963867,227900
2024-04-01,335.399994,335.399994,330.260010,333.140015,331.927673,167700
2024-04-02,331.850006,334.570007,328.829987,333.079987,331.867889,268000
2024-04-03,332.700012,338.850006,332.700012,338.510010,337.278137,215800
2024-04-04,340.269989,341.589996,335.359985,336.279999,335.056244,168300
2024-04-05,336.260010,340.059998,334.799988,340.040009,338.802582,182900
2024-04-08,342.079987,342.200012,334.970001,337.079987,335.853333,234800
2024-04-09,339.290009,341.890015,333.250000,335.950012,334.727448,193900
2024-04-10,331.329987,334.769989,330.209991,332.010010,330.801788,189800
2024-04-11,331.119995,332.559998,328.429993,330.750000,329.546356,194500
2024-04-12,329.290009,329.950012,324.880005,325.529999,324.345367,182000
2024-04-15,329.920013,330.459991,323.399994,325.230011,324.046478,175800
2024-04-16,323.079987,323.880005,319.390015,322.880005,321.705017,160600
2024-04-17,326.809998,326.859985,322.040009,322.119995,320.947754,145800
2024-04-18,324.100006,324.109985,317.980011,320.160004,318.994904,147700
